from,to,name_from,ref_prod_from,location_from,name_to,ref_prod_to,location_to
35,39,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO,"market group for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",RER
36,39,"market for potassium fertiliser, as K2O","potassium fertiliser, as K2O",GLO,"market group for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",RER
37,39,"market for chemicals, inorganic","chemical, inorganic",GLO,"market for chemical, inorganic",,
39,37,"market for chemical, inorganic","chemical, inorganic",GLO,"market for chemicals, inorganic",,
38,37,"market for chemical, inorganic","chemical, inorganic",GLO,"market for chemicals, inorganic",,
35,39,"heat pump production, for heat and power co-generation unit, 160kW electrical","heat pump, for heat and power co-generation unit, 160kW electrical",RER,"heat pump production, heat and power co-generation unit, 160kW electrical","heat pump, heat and power co-generation unit, 160kW electrical",
36,39,"heat pump production, for heat and power co-generation unit, 160kW electrical","heat pump, for heat and power co-generation unit, 160kW electrical",RER,"heat pump production, heat and power co-generation unit, 160kW electrical","heat pump, heat and power co-generation unit, 160kW electrical",
37,39,"heat pump production, for heat and power co-generation unit, 160kW electrical","heat pump, for heat and power co-generation unit, 160kW electrical",RER,"heat pump production, heat and power co-generation unit, 160kW electrical","heat pump, heat and power co-generation unit, 160kW electrical",
39,37,"heat pump production, heat and power co-generation unit, 160kW electrical","heat pump, heat and power co-generation unit, 160kW electrical",RER,"heat pump production, for heat and power co-generation unit, 160kW electrical","heat pump, for heat and power co-generation unit, 160kW electrical",
38,37,"heat pump production, heat and power co-generation unit, 160kW electrical","heat pump, heat and power co-generation unit, 160kW electrical",RER,"heat pump production, for heat and power co-generation unit, 160kW electrical","heat pump, for heat and power co-generation unit, 160kW electrical",
39,36,"heat pump production, heat and power co-generation unit, 160kW electrical","heat pump, heat and power co-generation unit, 160kW electrical",RER,"heat pump production, for heat and power co-generation unit, 160kW electrical","heat pump, for heat and power co-generation unit, 160kW electrical",
35,39,"plywood production, for outdoor use",plywood,RER,plywood production,,
35,39,"market for chemicals, inorganic","chemical, inorganic",GLO,"market for chemical, inorganic",,
36,39,"market for chemicals, inorganic","chemical, inorganic",GLO,"market for chemical, inorganic",,
35,39,"market for cellulose fibre, inclusive blowing in","cellulose fibre, inclusive blowing in",GLO,market for cellulose fibre,cellulose fibre,RoW
36,39,"market for cellulose fibre, inclusive blowing in","cellulose fibre, inclusive blowing in",GLO,market for cellulose fibre,cellulose fibre,RoW
35,39,"market for electric powertrain, for electric scooter","powertrain, for electric scooter",GLO,"market for powertrain, for electric scooter","powertrain, for electric scooter",
36,39,"market for electric powertrain, for electric scooter","powertrain, for electric scooter",GLO,"market for powertrain, for electric scooter","powertrain, for electric scooter",
37,39,"market for electric powertrain, for electric scooter","powertrain, for electric scooter",GLO,"market for powertrain, for electric scooter","powertrain, for electric scooter",
35,39,"market for electricity, low voltage, label-certified","electricity, low voltage, label-certified",CH,"market for electricity, low voltage, renewable energy products","electricity, low voltage, renewable energy products",
36,39,"market for electricity, low voltage, label-certified","electricity, low voltage, label-certified",CH,"market for electricity, low voltage, renewable energy products","electricity, low voltage, renewable energy products",
37,39,"market for electricity, low voltage, label-certified","electricity, low voltage, label-certified",CH,"market for electricity, low voltage, renewable energy products","electricity, low voltage, renewable energy products",
37,39,"treatment of used internal combustion engine, shredding","used internal combustion engine, from passenger car",GLO,"treatment of used internal combustion engine, passenger car, shredding","used internal combustion engine, passenger car",
37,39,phosphoryl chloride production,phosphoryl chloride,RER,"phosphorus oxychloride production, from phosphorus trichloride",phosphorus oxychloride,RER
35,39,"market for titanium, primary","titanium, primary",GLO,market for titanium,titanium,GLO
36,39,"market for titanium, primary","titanium, primary",GLO,market for titanium,titanium,GLO
37,39,"market for titanium, primary","titanium, primary",GLO,market for titanium,titanium,GLO
37,310,"ethylene production, average","ethylene, average",RER,"market for ethylene",ethylene,RER
38,310,"ethylene production, average","ethylene",RER,"market for ethylene",ethylene,RER
39,310,"ethylene production, average","ethylene",RER,"market for ethylene",ethylene,RER
35,39,esterification of rape oil,vegetable oil methyl ester,CH,esterification of rape oil,fatty acid methyl ester,CH
36,39,esterification of rape oil,vegetable oil methyl ester,CH,esterification of rape oil,fatty acid methyl ester,CH
37,39,esterification of rape oil,vegetable oil methyl ester,CH,esterification of rape oil,fatty acid methyl ester,CH
35,39,"market for nickel, 99.5%","nickel, 99.5%",GLO,"market for nickel, class 1","nickel, class 1",
37,39,"polyurethane production, flexible foam","polyurethane, flexible foam",RER,"polyurethane production, flexible foam, MDI-based","polyurethane, flexible foam",RER
36,39,"market for internal combustion engine, passenger car","internal combustion engine, for passenger car",GLO,"market for internal combustion engine, passenger car","internal combustion engine, passenger car",GLO
37,39,"market for internal combustion engine, passenger car","internal combustion engine, for passenger car",GLO,"market for internal combustion engine, passenger car","internal combustion engine, passenger car",GLO
38,39,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",GLO,"acrylic varnish production, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",GLO
38,39,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RER,"acrylic varnish production, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",RER
37,39,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",GLO,"acrylic varnish production, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",GLO
37,39,"acrylic varnish production, product in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RER,"acrylic varnish production, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",RER
38,39,"battery production, NCA, Li-ion, rechargeable, prismatic","battery, Li-ion, NCA, rechargeable, prismatic",CN,"battery production, Li-ion, NCA, rechargeable, prismatic","battery, Li-ion, NCA, rechargeable, prismatic",CN
38,39,"battery production, NCA, Li-ion, rechargeable, prismatic","battery, Li-ion, NCA, rechargeable, prismatic",GLO,"battery production, Li-ion, NCA, rechargeable, prismatic","battery, Li-ion, NCA, rechargeable, prismatic",GLO
38,39,"battery production, NMC811, Li-ion, rechargeable, prismatic","battery, Li-ion, NMC811, rechargeable, prismatic",CN,"battery production, Li-ion, NMC811, rechargeable, prismatic","battery, Li-ion, NMC811, rechargeable, prismatic",CN
38,39,"battery production, NMC811, Li-ion, rechargeable, prismatic","battery, Li-ion, NMC811, rechargeable, prismatic",GLO,"battery production, Li-ion, NMC811, rechargeable, prismatic","battery, Li-ion, NMC811, rechargeable, prismatic",GLO
38,39,biomethane pressure reduction from high to low pressure,"biomethane, low pressure",CH,"biomethane pressure reduction, from high to low pressure","biomethane, low pressure",CH
38,39,biomethane pressure reduction from high to low pressure,"biomethane, low pressure",GLO,"biomethane pressure reduction, from high to low pressure","biomethane, low pressure",GLO
38,39,"cement production, blast furnace slag 21-35%","cement, blast furnace slag 21-35%",ZA,"cement production, CEM II/B-S","cement, CEM II/B-S",ZA
38,39,"cement production, blast furnace slag 25-70%","cement, blast furnace slag 25-70%",US,"cement production, type IS","cement, type IS",US
38,39,"cement production, blast furnace slag 36-65%","cement, blast furnace slag 36-65%",CH,"cement production, CEM III/A","cement, CEM III/A",CH
38,39,"cement production, blast furnace slag 36-65%","cement, blast furnace slag 36-65%",Europe without Switzerland,"cement production, CEM III/A","cement, CEM III/A",Europe without Switzerland
38,39,"cement production, blast furnace slag 36-65%","cement, blast furnace slag 36-65%",GLO,"cement production, CEM III/A","cement, CEM III/A",GLO
38,39,"cement production, blast furnace slag 36-65%","cement, blast furnace slag 36-65%",ZA,"cement production, CEM III/A","cement, CEM III/A",ZA
38,39,"cement production, blast furnace slag 40-70%","cement, blast furnace slag 40-70%",IN,"cement production, Portland Slag","cement, Portland Slag",IN
38,39,"cement production, blast furnace slag 5-25%","cement, blast furnace slag 5-25%",US,"cement production, type I (SM)","cement, type I (SM)",US
38,39,"cement production, blast furnace slag 6-20%","cement, blast furnace slag 6-20%",ZA,"cement production, CEM II/A-S","cement, CEM II/A-S",ZA
38,39,"cement production, blast furnace slag 66-80%","cement, blast furnace slag 66-80%",CH,"cement production, CEM III/B","cement, CEM III/B",CH
38,39,"cement production, blast furnace slag 66-80%","cement, blast furnace slag 66-80%",Europe without Switzerland,"cement production, CEM III/B","cement, CEM III/B",Europe without Switzerland
38,39,"cement production, blast furnace slag 66-80%","cement, blast furnace slag 66-80%",GLO,"cement production, CEM III/B","cement, CEM III/B",GLO
38,39,"cement production, blast furnace slag 70-100%","cement, blast furnace slag 70-100%",US,"cement production, type S","cement, type S",US
38,39,"cement production, blast furnace slag 81-95%","cement, blast furnace slag 81-95%",CH,"cement production, CEM III/C","cement, CEM III/C",CH
38,39,"cement production, blast furnace slag 81-95%","cement, blast furnace slag 81-95%",Europe without Switzerland,"cement production, CEM III/C","cement, CEM III/C",Europe without Switzerland
38,39,"cement production, blast furnace slag 81-95%","cement, blast furnace slag 81-95%",GLO,"cement production, CEM III/C","cement, CEM III/C",GLO
38,39,"cement production, limestone 21-35%","cement, limestone 21-35%",ZA,"cement production, CEM II/B-L","cement, CEM II/B-L",ZA
38,39,"cement production, limestone 6-20%","cement, limestone 6-20%",ZA,"cement production, CEM II/A-L","cement, CEM II/A-L",ZA
38,39,"cement production, pozzolana and fly ash 36-55%","cement, pozzolana and fly ash 36-55%",PE,"cement production, type IP","cement, type IP",PE
38,39,"electricity, high voltage, import from BR-North-eastern grid","electricity, high voltage",BR-South-eastern grid,"electricity, high voltage, import from BR-North-eastern grid","electricity, high voltage",BR-South-eastern/Mid-western grid
38,39,"electricity, high voltage, import from BR-Northern grid","electricity, high voltage",BR-South-eastern grid,"electricity, high voltage, import from BR-Northern grid","electricity, high voltage",BR-South-eastern/Mid-western grid
38,39,maize grain production,maize grain,BR-MS,"maize grain production, second crop",maize grain,BR-MS
38,39,maize grain production,maize grain,BR-MT,"maize grain production, second crop",maize grain,BR-MT
38,39,maize grain production,maize grain,BR-RS,"maize grain production, first crop",maize grain,BR-RS
38,39,"market for acrylic binder, without water, in 34% solution state","acrylic binder, without water, in 34% solution state",GLO,"market for acrylic binder, with water, in 54% solution state","acrylic binder, with water, in 54% solution state",GLO
38,39,"market for acrylic binder, without water, in 34% solution state","acrylic binder, without water, in 34% solution state",RER,"market for acrylic binder, with water, in 54% solution state","acrylic binder, with water, in 54% solution state",RER
310,37,"market for acrylic binder, with water, in 54% solution state","acrylic binder, with water, in 54% solution state",RER,"market for acrylic binder, without water, in 34% solution state","acrylic binder, without water, in 34% solution state",RER
38,39,"market for acrylic dispersion, without water, in 65% solution state","acrylic dispersion, without water, in 65% solution state",GLO,"market for acrylic dispersion, with water, in 58% solution","acrylic dispersion, with water, in 58% solution state",GLO
38,39,"market for acrylic dispersion, without water, in 65% solution state","acrylic dispersion, without water, in 65% solution state",RER,"market for acrylic dispersion, with water, in 58% solution","acrylic dispersion, with water, in 58% solution state",RER
38,39,"market for acrylic varnish, without water, in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",GLO,"market for acrylic varnish, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",GLO
38,39,"market for acrylic varnish, without water, in 87.5% solution state","acrylic varnish, without water, in 87.5% solution state",RER,"market for acrylic varnish, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",RER
38,39,"market for battery cell, Li-ion","battery cell, Li-ion",GLO,"market for battery cell, Li-ion, LiMn2O4","battery cell, Li-ion, LiMn2O4",GLO
38,39,"market for battery, Li-ion, rechargeable, prismatic","battery, Li-ion, rechargeable, prismatic",GLO,"market for battery, Li-ion, LiMn2O4, rechargeable, prismatic","battery, Li-ion, LiMn2O4, rechargeable, prismatic",GLO
38,39,"market for cathode, LiMn2O4, for lithium-ion battery","cathode, LiMn2O4, for lithium-ion battery",GLO,"market for cathode, LiMn2O4, for Li-ion battery","cathode, LiMn2O4, for Li-ion battery",GLO
38,39,"market for cement, alternative constituents 21-35%","cement, alternative constituents 21-35%",CH,"market for cement, CEM II/B","cement, CEM II/B",CH
38,39,"market for cement, alternative constituents 21-35%","cement, alternative constituents 21-35%",CO,"market for cement, ART","cement, ART",CO
38,39,"market for cement, alternative constituents 21-35%","cement, alternative constituents 21-35%",Europe without Switzerland,"market for cement, CEM II/B","cement, CEM II/B",Europe without Switzerland
38,39,"market for cement, alternative constituents 21-35%","cement, alternative constituents 21-35%",GLO,"market for cement, CEM II/B","cement, CEM II/B",GLO
38,39,"market for cement, alternative constituents 21-35%","cement, alternative constituents 21-35%",RoW,"market for cement, CEM II/B","cement, CEM II/B",RoW
38,39,"market for cement, alternative constituents 45%","cement, alternative constituents 45%",CO,"market for cement, type general use","cement, type general use",CO
38,39,"market for cement, alternative constituents 6-20%","cement, alternative constituents 6-20%",CA-QC,"market for cement, CEM II/A","cement, CEM II/A",CA-QC
38,39,"market for cement, alternative constituents 6-20%","cement, alternative constituents 6-20%",CH,"market for cement, CEM II/A","cement, CEM II/A",CH
38,39,"market for cement, alternative constituents 6-20%","cement, alternative constituents 6-20%",Europe without Switzerland,"market for cement, CEM II/A","cement, CEM II/A",Europe without Switzerland
38,39,"market for cement, alternative constituents 6-20%","cement, alternative constituents 6-20%",GLO,"market for cement, CEM II/A","cement, CEM II/A",GLO
38,39,"market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents","cement, blast furnace slag 18-30% and 18-30% other alternative constituents",CH,"market for cement, CEM V/A","cement, CEM V/A",CH
38,39,"market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents","cement, blast furnace slag 18-30% and 18-30% other alternative constituents",Europe without Switzerland,"market for cement, CEM V/A","cement, CEM V/A",Europe without Switzerland
38,39,"market for cement, blast furnace slag 18-30% and 18-30% other alternative constituents","cement, blast furnace slag 18-30% and 18-30% other alternative constituents",GLO,"market for cement, CEM V/A","cement, CEM V/A",GLO
38,39,"market for cement, blast furnace slag 21-35%","cement, blast furnace slag 21-35%",ZA,"market for cement, CEM II/B-S","cement, CEM II/B-S",ZA
38,39,"market for cement, blast furnace slag 25-70%","cement, blast furnace slag 25-70%",US,"market for cement, type IS","cement, type IS",US
38,39,"market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents","cement, blast furnace slag 31-50% and 31-50% other alternative constituents",CH,"market for cement, CEM V/B","cement, CEM V/B",CH
38,39,"market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents","cement, blast furnace slag 31-50% and 31-50% other alternative constituents",Europe without Switzerland,"market for cement, CEM V/B","cement, CEM V/B",Europe without Switzerland
38,39,"market for cement, blast furnace slag 31-50% and 31-50% other alternative constituents","cement, blast furnace slag 31-50% and 31-50% other alternative constituents",GLO,"market for cement, CEM V/B","cement, CEM V/B",GLO
38,39,"market for cement, blast furnace slag 35-70%","cement, blast furnace slag 35-70%",BR,"market for cement, CP III","cement, CP III",BR
38,39,"market for cement, blast furnace slag 36-65%","cement, blast furnace slag 36-65%",CH,"market for cement, CEM III/A","cement, CEM III/A",CH
38,39,"market for cement, blast furnace slag 36-65%","cement, blast furnace slag 36-65%",Europe without Switzerland,"market for cement, CEM III/A","cement, CEM III/A",Europe without Switzerland
38,39,"market for cement, blast furnace slag 36-65%","cement, blast furnace slag 36-65%",GLO,"market for cement, CEM III/A","cement, CEM III/A",GLO
38,39,"market for cement, blast furnace slag 36-65%","cement, blast furnace slag 36-65%",ZA,"market for cement, CEM III/A","cement, CEM III/A",ZA
38,39,"market for cement, blast furnace slag 40-70%","cement, blast furnace slag 40-70%",IN,"market for cement, Portland Slag","cement, Portland Slag",IN
38,39,"market for cement, blast furnace slag 5-25%","cement, blast furnace slag 5-25%",US,"market for cement, type I (SM)","cement, type I (SM)",US
38,39,"market for cement, blast furnace slag 6-20%","cement, blast furnace slag 6-20%",ZA,"market for cement, CEM II/A-S","cement, CEM II/A-S",ZA
38,39,"market for cement, blast furnace slag 6-34%","cement, blast furnace slag 6-34%",BR,"market for cement, CP II-E","cement, CP II-E",BR
38,39,"market for cement, blast furnace slag 66-80%","cement, blast furnace slag 66-80%",CH,"market for cement, CEM III/B","cement, CEM III/B",CH
38,39,"market for cement, blast furnace slag 66-80%","cement, blast furnace slag 66-80%",Europe without Switzerland,"market for cement, CEM III/B","cement, CEM III/B",Europe without Switzerland
38,39,"market for cement, blast furnace slag 66-80%","cement, blast furnace slag 66-80%",GLO,"market for cement, CEM III/B","cement, CEM III/B",GLO
38,39,"market for cement, blast furnace slag 70-100%","cement, blast furnace slag 70-100%",US,"market for cement, type S","cement, type S",US
38,39,"market for cement, blast furnace slag 81-95%","cement, blast furnace slag 81-95%",CH,"market for cement, CEM III/C","cement, CEM III/C",CH
38,39,"market for cement, blast furnace slag 81-95%","cement, blast furnace slag 81-95%",Europe without Switzerland,"market for cement, CEM III/C","cement, CEM III/C",Europe without Switzerland
38,39,"market for cement, blast furnace slag 81-95%","cement, blast furnace slag 81-95%",GLO,"market for cement, CEM III/C","cement, CEM III/C",GLO
38,39,"market for cement, limestone 21-35%","cement, limestone 21-35%",PE,"market for cement, type ICo","cement, type ICo",PE
38,39,"market for cement, limestone 6-10%","cement, limestone 6-10%",BR,"market for cement, CP II-F","cement, CP II-F",BR
38,39,"market for cement, limestone 6-20%","cement, limestone 6-20%",ZA,"market for cement, CEM II/A-L","cement, CEM II/A-L",ZA
38,39,"market for cement, portland fly ash cement 21-35%","cement, portland fly ash cement 21-35%",ZA,"market for cement, CEM II/B-V","cement, CEM II/B-V",ZA
38,39,"market for cement, portland fly ash cement 6-20%","cement, portland fly ash cement 6-20%",ZA,"market for cement, CEM II/A-V","cement, CEM II/A-V",ZA
38,39,"market for cement, pozzolana and fly ash 11-35%","cement, pozzolana and fly ash 11-35%",CH,"market for cement, CEM IV/A","cement, CEM IV/A",CH
38,39,"market for cement, pozzolana and fly ash 11-35%","cement, pozzolana and fly ash 11-35%",Europe without Switzerland,"market for cement, CEM IV/A","cement, CEM IV/A",Europe without Switzerland
38,39,"market for cement, pozzolana and fly ash 11-35%","cement, pozzolana and fly ash 11-35%",GLO,"market for cement, CEM IV/A","cement, CEM IV/A",GLO
38,39,"market for cement, pozzolana and fly ash 15-40%","cement, pozzolana and fly ash 15-40%",US,"market for cement, type IP/P","cement, type IP/P",US
38,39,"market for cement, pozzolana and fly ash 15-50%","cement, pozzolana and fly ash 15-50%",BR,"market for cement, CP IV","cement, CP IV",BR
38,39,"market for cement, pozzolana and fly ash 25-35%","cement, pozzolana and fly ash 25-35%",IN,"market for cement, Pozzolana Portland","cement, Pozzolana Portland",IN
38,39,"market for cement, pozzolana and fly ash 36-55%","cement, pozzolana and fly ash 36-55%",CH,"market for cement, CEM IV/B","cement, CEM IV/B",CH
38,39,"market for cement, pozzolana and fly ash 36-55%","cement, pozzolana and fly ash 36-55%",Europe without Switzerland,"market for cement, CEM IV/B","cement, CEM IV/B",Europe without Switzerland
38,39,"market for cement, pozzolana and fly ash 36-55%","cement, pozzolana and fly ash 36-55%",GLO,"market for cement, CEM IV/B","cement, CEM IV/B",GLO
38,39,"market for cement, pozzolana and fly ash 5-15%","cement, pozzolana and fly ash 5-15%",US,"market for cement, type I-PM","cement, type I-PM",US
38,39,"market for cement, pozzolana and fly ash 6-14%","cement, pozzolana and fly ash 6-14%",BR,"market for cement, CP II-Z","cement, CP II-Z",BR
38,39,"market for cement, sulphate resistant","cement, sulphate resistant",BR,"market for cement, CP V RS","cement, CP V RS",BR
38,39,"market for concrete, for de-icing salt contact","concrete, for de-icing salt contact",CH,"market for concrete, 37MPa","concrete, 37MPa",CH
38,39,"market for concrete, normal","concrete, normal",BR,"market for concrete, normal strength","concrete, normal strength",BR
38,39,"market for concrete, normal","concrete, normal",CH,"market for concrete, normal strength","concrete, normal strength",CH
38,39,"market for concrete, normal","concrete, normal",CO,"market for concrete, normal strength","concrete, normal strength",CO
38,39,"market for concrete, normal","concrete, normal",GLO,"market for concrete, normal strength","concrete, normal strength",AT
38,39,"market for concrete, normal","concrete, normal",RoW,"market for concrete, normal strength","concrete, normal strength",RoW
38,39,"market for concrete, normal","concrete, normal",IN,"market for concrete, normal strength","concrete, normal strength",IN
38,39,"market for concrete, normal","concrete, normal",PE,"market for concrete, normal strength","concrete, normal strength",PE
38,39,"market for concrete, normal","concrete, normal",RNA,"market for concrete, normal strength","concrete, normal strength",RNA
38,39,"market for concrete, normal","concrete, normal",ZA,"market for concrete, normal strength","concrete, normal strength",ZA
39,37,"market for concrete, normal strength","concrete, normal strength",BR,"market for concrete, normal","concrete, normal",BR
39,37,"market for concrete, normal strength","concrete, normal strength",CH,"market for concrete, normal","concrete, normal",CH
39,37,"market for concrete, normal strength","concrete, normal strength",CO,"market for concrete, normal","concrete, normal",CO
39,37,"market for concrete, normal strength","concrete, normal strength",GLO,"market for concrete, normal","concrete, normal",AT
39,37,"market for concrete, normal strength","concrete, normal strength",GLO,"market for concrete, normal","concrete, normal",GLO
39,37,"market for concrete, normal strength","concrete, normal strength",IN,"market for concrete, normal","concrete, normal",IN
39,37,"market for concrete, normal strength","concrete, normal strength",PE,"market for concrete, normal","concrete, normal",PE
39,37,"market for concrete, normal strength","concrete, normal strength",RNA,"market for concrete, normal","concrete, normal",RNA
39,37,"market for concrete, normal strength","concrete, normal strength",ZA,"market for concrete, normal","concrete, normal",ZA
39,36,"market for concrete, normal strength","concrete, normal strength",BR,"market for concrete, normal","concrete, normal",BR
39,36,"market for concrete, normal strength","concrete, normal strength",CH,"market for concrete, normal","concrete, normal",CH
39,36,"market for concrete, normal strength","concrete, normal strength",CO,"market for concrete, normal","concrete, normal",CO
39,36,"market for concrete, normal strength","concrete, normal strength",GLO,"market for concrete, normal","concrete, normal",AT
39,36,"market for concrete, normal strength","concrete, normal strength",GLO,"market for concrete, normal","concrete, normal",GLO
39,36,"market for concrete, normal strength","concrete, normal strength",IN,"market for concrete, normal","concrete, normal",IN
39,36,"market for concrete, normal strength","concrete, normal strength",PE,"market for concrete, normal","concrete, normal",PE
39,36,"market for concrete, normal strength","concrete, normal strength",RNA,"market for concrete, normal","concrete, normal",RNA
39,36,"market for concrete, normal strength","concrete, normal strength",ZA,"market for concrete, normal","concrete, normal",ZA
38,39,"market for energy use and operation emissions, electric bicycle","energy use and operation emissions, electric bicycle",GLO,"market for energy use, electric bicycle","energy use, electric bicycle",GLO
38,39,"market for energy use and operation emissions, electric bicycle, electricity from renewable energy products","energy use and operation emissions, electric bicycle, electricity from renewable energy products",GLO,"market for energy use, electric bicycle, electricity from renewable energy products","energy use, electric bicycle, electricity from renewable energy products",GLO
38,39,market for meta-phenylene diamine,meta-phenylene diamine,GLO,market for resorcinol,resorcinol,GLO
38,39,"market for natural gas, burned in gas motor, for storage","natural gas, burned in gas motor, for storage",GLO,"market for natural gas, burned in gas turbine","natural gas, burned in gas turbine",GLO
38,39,"market for polar fleece production, energy use only","polar fleece production, energy use only",GLO,"market for polar fleece, energy use only","polar fleece, energy use only",GLO
38,39,"market for soda ash, light, crystalline, heptahydrate","soda ash, light, crystalline, heptahydrate",GLO,"market for soda ash, light","soda ash, light",GLO
38,310,"market for soda ash, light, crystalline, heptahydrate","soda ash, light, crystalline, heptahydrate",GLO,"market for soda ash, light","soda ash, light",RoW
37,39,"market for soda ash, light, crystalline, heptahydrate","soda ash, light, crystalline, heptahydrate",GLO,"market for soda ash, light","soda ash, light",GLO
38,39,"market for stibnite ore, 70% stibnite","stibnite ore, 70% stibnite",GLO,market for stibnite concentrate,stibnite concentrate,GLO
38,39,"market for zircon, 50% zirconium","zircon, 50% zirconium",GLO,market for zircon,zircon,GLO
38,39,"market group for concrete, normal","concrete, normal",GLO,"market group for concrete, normal strength","concrete, normal strength",GLO
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",CH,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",CH
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",BE
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",CA
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",DE
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",ES
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",FR
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",GB
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",GLO
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",IT
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",MX
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",NL
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",RoE
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",TR
38,39,natural gas pressure reduction from high to low pressure,"natural gas, low pressure",GLO,"natural gas pressure reduction, from high to low pressure","natural gas, low pressure",US
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",CA-AB,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",CA
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",CA-QC,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",CA
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",DE,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",DE
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",DZ,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",DZ
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",AE
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",AZ
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",BE
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",BR
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",CH
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",CN
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",CO
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",EC
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",ES
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",FR
38,39,"natural gas, burned in gas turbine, for compressor station","electricity, medium voltage",GLO,"natural gas, burned in gas turbine","natural gas, burned in gas turbine",GB
