name;source;description
Hydrogen, gaseous, 700 bar, ATR of NG, with CCS, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from ATR of biogas with CCS, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from ATR of biogas, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from coal gasification, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from dual fluidised bed gasification of woody biomass with CCS, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from dual fluidised bed gasification of woody biomass, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from electrolysis, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from gasification of woody biomass in oxy-fired entrained flow gasifier, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from gasification of woody biomass in oxy-fired entrained flow gasifier, with CCS, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from SMR of biogas with CCS, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from SMR of biogas, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from SMR of NG, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
Hydrogen, gaseous, 700 bar, from SMR of NG, with CCS, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf)
IBIS;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
IBIS fasteners;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Inner frame;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Lithium iron phosphate [LiFePO4];Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Lower retention;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Low voltage system;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Maize cultivation, drying and storage {RER} | Maize production Europe | Alloc Rec, U;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Manifolds;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
market for styrene butadiene rubber (SBR);Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
MEA hot pressing;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Membrane;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Methane production, synthetic, from electrochemical methanation;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;Production of synthetic methane from hydrogen and biogenic carbon.
Methanol distillation;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);
Methanol Synthesis;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);Methanol production from hydrogen and carbon dioxide. The carbon dioxide is supplied by direct air capture.
Module fasteners;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Module lid;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Module packaging;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
MTG production facility, construction;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);
Multilayer pouch;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
NCA electrode material (LiNi0.8Co0.15Al0.05O2);Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Negative current collector Cu;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Negative electrode paste;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Ni1/3Co1/3Mn1/3(OH)2;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Oil Palm Tree Cultivation {RER} | Fresh Fruit Bunches (FFBs) production | Alloc Rec, U;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Outer frame;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
PEM electrolyzer, ACDC Converter;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
PEM electrolyzer, Balance of Plant;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
PEM electrolyzer, Operation and Maintenance;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
PEM electrolyzer, Stack;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
PEM Fuel Cell;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
Pipe fitting;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
pipeline, supercritical CO2/km;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;
Plant oil from crude oil | refining of vegetable oil from oil palm|;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Plant oil production | refining of crude vegetable oil from rapeseed| Alloc Rec, U;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Positive active material;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05313;
Positive current collector Al;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05313;
Positive electrode paste;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05313;
production of 2 wt-% potassium iodide solution;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;
production of nickle-based catalyst for methanation;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;
pumps, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;
Radiator;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Rapeseed cultivation {RER} | rapeseed production Europe | Alloc Rec, U;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Refined Waste Cooking Oil {RER} | Refining of waste cooking oil Europe | Alloc Rec, U;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
RWGS tank construction;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Tank for reverse water gas shift reactor to produce carbon monoxide out of carbon dioxide. Used in the production of synthetic diesel.
RWGS catalyst;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Catalyst used for RWGS reaction. A RWGS catalyst S�dchemie Shiftmax 240 is proposed. This catalyst consists of 57% CuO, 31% ZnO and 11% Al2O3.
Sabatier reaction methanation unit;Zhang, X., Witte, J., Schildhauer, T., Bauer, C. Life Cycle Assessment of Power-to-Gas with Biogas as the Carbon Source. Sustain. Energy Fuels 2020, 4 (3), 1427�1436. https://doi.org/10.1039/c9se00986h;
Selective coating, sputtering;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
Separator;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Separator, LFP;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Separator, NCA;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
SMR BM, HT+LT, + CCS (MDEA), 98 (average), digestate incineration, 26 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;
SMR BM, HT+LT, with digestate incineration, 26 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;
SMR NG + CCS (MDEA), 98 (average), 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Production of hydrogen by steam methane reforming of natural gas, with carbon capture and storage, pressurized at 25 bar.
SMR NG + CCS (MDEA), 98 (average), 700 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;
SMR NG, 25 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;
SMR NG, 700 bar;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;
softwood forestry, mixed species, sustainable forest management, CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;
softwood forestry, pine, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;
softwood forestry, spruce, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;
Sohio process;Brian Cox, Wojciech Jemiolo, Chris Mutel, Life cycle assessment of air transportation and the Swiss commercial air transport fleet, Transportation Research Part D: Transport and Environment, Volume 58, 2018, Pages 1-13, ISSN 1361-9209, https://doi.org/10.1016/j.trd.2017.10.017;Process involved in the manufacture of carbon fibre.
Stack;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
storage module, high pressure, at fuelling station;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
Strap retention;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Straw bales | baling of straw;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
straw pellets;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Sugar beet cultivation {RER} | sugar beet production Europe | Alloc Rec, U;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Internal document to PSI. Inventories on first, second and third generation biofuels production. Has NOT been peer-reviewed.
Syngas, RWGS, Production;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Production of synthetic gas from hydrogen and carbon monoxide that feeds into the Fischer-Tropsch process to produce synthetic diesel. Adapted from van der Giesen et al. 2014. Density of syngas: 0.470kg/m3 @1 bar. LHV: 23.9 MJ/kg.
Tab Aluminum;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Tab Copper;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Textile, carbon cloth;Brian Cox, Wojciech Jemiolo, Chris Mutel, Life cycle assessment of air transportation and the Swiss commercial air transport fleet, Transportation Research Part D: Transport and Environment, Volume 58, 2018, Pages 1-13, ISSN 1361-9209, https://doi.org/10.1016/j.trd.2017.10.017;
Thermal pad;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Tie-rods;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;
transport, pipeline, supercritical CO2, 200km w/o recompression;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;
transport, pipeline, supercritical CO2, 200km w recompression;Volkart et al., 2013, Life cycle assessment of carbon capture and storage in power generation and industry in Europe, doi: 10.1016/j.ijggc.2013.03.003;
Tray lid;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Tray seal;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
Tray with fasteners;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;
transformer and rectifier unit, for electrolyzer;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
treatment of biowaste by anaerobic digestion, with biogenic carbon uptake, lower bound C sequestration, digestate incineration;Zhang et al., 2020, doi: 10.1039/C9SE00986H;Biogas production from anaerobic digestion of biomass residues.
treatment of sewage sludge by anaerobic digestion;Zhang et al., 2020, doi: 10.1039/C9SE00986H;Production of biogas from anaerobic digestion of sewage sludge.
Walls and foundations, for hydrogen refuelling station;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;
Waste Cooking Oil;Cozzolino, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Residual vegetal oil for the production of biodiesel.
Weaving, carbon cloth;Brian Cox, Wojciech Jemiolo, Chris Mutel, Life cycle assessment of air transportation and the Swiss commercial air transport fleet, Transportation Research Part D: Transport and Environment, Volume 58, 2018, Pages 1-13, ISSN 1361-9209, https://doi.org/10.1016/j.trd.2017.10.017;weaving of acrylonitrile-based carbon fibre into fabric.
