dataset name;location
electricity, high voltage, production mix;CN-BJ
market group for electricity, high voltage;RAF
electricity, high voltage, import from TR;GR
market for electricity, medium voltage;TG
market for electricity, low voltage;AT
market for electricity, high voltage;IE
market for electricity, high voltage;XK
market for electricity, low voltage;TH
electricity, from municipal waste incineration to generic market for electricity, medium voltage;KR
market for electricity, high voltage;NO
electricity, high voltage, production mix;LV
electricity, high voltage, import from CA-SK;CA-AB
market for electricity, high voltage;CA-SK
electricity, high voltage, import from RO;HU
market for electricity, medium voltage;CA-NB
electricity, high voltage, import from IN-Western grid;IN-North-eastern grid
electricity, high voltage, import from GR;MK
market for electricity, high voltage;CR
electricity, high voltage, import from IN-Southern grid;IN-North-eastern grid
electricity, high voltage, production mix;IR
market for electricity, low voltage;CA-YK
electricity, high voltage, import from RS;XK
market for electricity, low voltage;LT
market for electricity, high voltage;MT
electricity, high voltage, production mix;CN-GD
market for electricity, medium voltage;US-TRE
electricity, from municipal waste incineration to generic market for electricity, medium voltage;PT
electricity, high voltage, import from IR;IQ
market for electricity, medium voltage;BO
market for electricity, low voltage;IE
market for electricity, medium voltage;CZ
market for electricity, high voltage, label-certified;CH
electricity, high voltage, import from BA;ME
electricity, high voltage, import from SE;DK
market group for electricity, medium voltage;RLA
market for electricity, high voltage;CH
market for electricity, medium voltage;NA
electricity, high voltage, import from NO;DK
market for electricity, low voltage;LV
electricity, high voltage, import from MZ;ZA
electricity, high voltage, production mix;CN-NM
electricity, high voltage, import from PL;SE
electricity, from municipal waste incineration to generic market for electricity, medium voltage;CZ
electricity, high voltage, production mix;NO
electricity, high voltage, production mix;CN-HL
market for electricity, high voltage;RoW
market group for electricity, medium voltage;US
electricity, high voltage, import from CA-NS;CA-NB
market for electricity, high voltage;IS
electricity, from municipal waste incineration to generic market for electricity, medium voltage;BE
electricity, high voltage, import from BG;RO
electricity, high voltage, production mix;CN-HA
electricity, high voltage, import from MZ;TZ
market for electricity, low voltage;TT
market for electricity, low voltage;GE
market for electricity, low voltage;LB
electricity, high voltage, import from ES;FR
electricity, high voltage, import from AT;IT
market for electricity, medium voltage;MK
electricity, high voltage, import from SGCC;MN
market for electricity, low voltage;BO
market for electricity, medium voltage;LB
market for electricity, high voltage;CN-SGCC
electricity, from municipal waste incineration to generic market for electricity, medium voltage;AT
electricity, high voltage, import from HR;RS
market for electricity, high voltage;NG
market for electricity, low voltage;AO
electricity, high voltage, import from RU;NO
market for electricity, low voltage;LK
market group for electricity, medium voltage;RAS
market for electricity, medium voltage;TN
electricity, high voltage, import from PL;CZ
electricity, high voltage, import from CA-QC;CA-ON
electricity, high voltage, import from NPCC, US only;CA-QC
market for electricity, high voltage;CL
market for electricity, high voltage;CA-NF
market group for electricity, high voltage;RME
electricity, high voltage, import from IN-Southern grid;IN-Western grid
electricity, high voltage, import from LT;LV
market for electricity, low voltage;FR
market for electricity, low voltage;MX
electricity, high voltage, import from MRO, US only;CA-SK
market for electricity, medium voltage;PT
electricity, from municipal waste incineration to generic market for electricity, medium voltage;SE
electricity, high voltage, production mix;GB
market for electricity, medium voltage;CA-MB
electricity, from municipal waste incineration to generic market for electricity, medium voltage;GB
market for electricity, low voltage;HU
market for electricity, medium voltage;SY
electricity, high voltage, import from CO;EC
electricity, from municipal waste incineration to generic market for electricity, medium voltage;TW
electricity, high voltage, import from DE;DK
electricity, high voltage, import from IN-Western grid;IN-Eastern grid
market for electricity, high voltage;CD
market for electricity, high voltage;NZ
market for electricity, medium voltage;LV
market for electricity, low voltage;CH
market for electricity, high voltage, aluminium industry;IAI Area, Africa
market for electricity, low voltage;SD
electricity, high voltage, production mix;CA-QC
market group for electricity, high voltage;RER
market for electricity, high voltage, for internal use in coal mining;GLO
market for electricity, low voltage;ZM
electricity, high voltage, production mix;CN-SX
electricity, high voltage, import from GR;TR
electricity, high voltage, production mix;HU
market for electricity, high voltage;KE
market for electricity, high voltage;CA-NT
market for electricity, high voltage;HN
market for electricity, low voltage;MY
market for electricity, medium voltage;FI
electricity, high voltage, import from TH;VN
electricity, high voltage, import from DE;LU
electricity, high voltage, import from IT;FR
market for electricity, low voltage;US-FRCC
electricity, high voltage, import from DK;SE
electricity, high voltage, import from TR;IR
electricity, high voltage, import from MRO, US only;CA-MB
market for electricity, high voltage;AM
market for electricity, high voltage;GT
market for electricity, low voltage;QA
electricity, high voltage, production mix;BR
market for electricity, medium voltage, aluminium industry;IAI Area, Russia & RER w/o EU27 & EFTA
electricity, high voltage, import from GB;NL
electricity, high voltage, production mix;IE
market for electricity, medium voltage;PE
electricity, high voltage, import from RU;EE
market for electricity, high voltage;IR
market for electricity, high voltage;FR
market for electricity, medium voltage;IE
market group for electricity, high voltage;GLO
electricity, from municipal waste incineration to generic market for electricity, medium voltage;TR
market group for electricity, low voltage;IN
market for electricity, high voltage;MN
electricity, high voltage, import from CH;FR
electricity, high voltage, import from RO;MD
market group for electricity, high voltage;IN
electricity, high voltage, production mix;RU
market for electricity, medium voltage, aluminium industry;CN
market for electricity, high voltage;TH
electricity, high voltage, import from EE;LT
market for electricity, high voltage;TG
electricity, high voltage, import from CR;NI
market for electricity, medium voltage;GA
market for electricity, high voltage;CZ
market for electricity, high voltage;US-ASCC
market for electricity, high voltage, aluminium industry;IAI Area, Russia & RER w/o EU27 & EFTA
market for electricity, high voltage;HR
electricity, high voltage, import from CA-ON;RoW
electricity, high voltage, import from GE;AZ
electricity, high voltage, production mix;US-FRCC
electricity, high voltage, import from CA-MB;CA-ON
market for electricity, high voltage;PH
market for electricity, medium voltage;BN
market for electricity, medium voltage;VE
electricity, from municipal waste incineration to generic market for electricity, medium voltage;SI
market for electricity, low voltage;CA-QC
market for electricity, high voltage;SV
market for electricity, medium voltage;UZ
market for electricity, low voltage;MT
electricity, high voltage, import from LV;EE
market for electricity, low voltage;LU
market for electricity, high voltage, aluminium industry;IAI Area, Asia, without China and GCC
electricity, high voltage, production mix;US-RFC
market for electricity, high voltage;VN
market for electricity, low voltage;IS
electricity, high voltage, production mix;SK
electricity, high voltage, import from SK;PL
market for electricity, medium voltage;MT
electricity, from municipal waste incineration to generic market for electricity, medium voltage;RU
market for electricity, medium voltage;MU
electricity, high voltage, production mix;CN-JL
electricity, high voltage, import from NPCC, US only;RoW
market for electricity, medium voltage;DO
electricity, high voltage, production mix;US-SERC
electricity, high voltage, import from WECC, US only;CA-BC
market for electricity, low voltage;CY
