name,product,ISIC rev.4 ecoinvent,CPC
"ethanol production, via fermentation, from corn, economic allocation","ethanol, from corn",2011:Manufacture of basic chemicals,23319: Preparations used in animal feeding n.e.c.
"ethanol production, via fermentation, from corn, energy allocation","ethanol, from corn",2011:Manufacture of basic chemicals,23319: Preparations used in animal feeding n.e.c.
"ethanol production, via fermentation, from corn, system expansion","ethanol, from corn",2011:Manufacture of basic chemicals,23319: Preparations used in animal feeding n.e.c.
"ethanol production, via fermentation, from corn, with carbon capture and reuse, economic allocation","ethanol, from corn",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from corn, with carbon capture and reuse, energy allocation","ethanol, from corn",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from corn, with carbon capture and reuse, system expansion","ethanol, from corn",2011:Manufacture of basic chemicals,23319: Preparations used in animal feeding n.e.c.
"ethanol production, via fermentation, from corn, with carbon capture and storage, economic allocation","ethanol, from corn",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from corn, with carbon capture and storage, energy allocation","ethanol, from corn",2011:Manufacture of basic chemicals,23319: Preparations used in animal feeding n.e.c.
"ethanol production, via fermentation, from corn, with carbon capture and storage, system expansion","ethanol, from corn",2011:Manufacture of basic chemicals,23319: Preparations used in animal feeding n.e.c.
"ethanol production, via fermentation, from eucalyptus","ethanol, from eucalyptus",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from eucalyptus, with carbon capture and storage","ethanol, from eucalyptus",2011:Manufacture of basic chemicals,23319: Preparations used in animal feeding n.e.c.
"ethanol production, via fermentation, from forage sorghum, economic allocation","ethanol, from forage sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forage sorghum, energy allocation","ethanol, from forage sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forage sorghum, system expansion","ethanol, from forage sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forest product (non-residual), energy allocation","ethanol, from forest residues",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forest residue, economic allocation","ethanol, from forest residue",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forest residue, energy allocation","ethanol, from forest residue",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forest residue, energy allocation","ethanol, from forest residues",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forest residue, system expansion","ethanol, from forest residue",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forest residue, with carbon capture and storage, energy allocation","ethanol, from forest residue",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from forest residues, energy allocation","ethanol, from forest residues",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from grain sorghum, economic allocation","ethanol, from grain sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from grain sorghum, energy allocation","ethanol, from grain sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from grain sorghum, system expansion","ethanol, from grain sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from miscanthus, economic allocation","ethanol, from miscanthus",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from miscanthus, energy allocation","ethanol, from miscanthus",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from miscanthus, system expansion","ethanol, from miscanthus",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from miscanthus, with carbon capture and storage, economic allocation","ethanol, from miscanthus",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from miscanthus, with carbon capture and storage, energy allocation","ethanol, from miscanthus",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from miscanthus, with carbon capture and storage, system expansion","ethanol, from miscanthus",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from poplar, economic allocation","ethanol, from poplar",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from poplar, energy allocation","ethanol, from poplar",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from poplar, system expansion","ethanol, from poplar",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from poplar, with carbon capture and storage, energy allocation","ethanol, from poplar",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarbeet, energy allocation","ethanol, from sugarbeet",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarbeet, with carbon capture and storage, energy allocation","ethanol, from sugarbeet",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane straw, economic allocation","ethanol, from sugarcane straw",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane straw, energy allocation","ethanol, from sugarcane straw",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane straw, system expansion","ethanol, from sugarcane straw",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane, economic allocation","ethanol, from sugarcane",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane, energy allocation","ethanol, from sugarcane",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane, system expansion","ethanol, from sugarcane",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane, with carbon capture and storage, economic allocation","ethanol, from sugarcane",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane, with carbon capture and storage, energy allocation","ethanol, from sugarcane",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sugarcane, with carbon capture and storage, system expansion","ethanol, from sugarcane",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sweet sorghum, economic allocation","ethanol, from sweet sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sweet sorghum, energy allocation","ethanol, from sweet sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from sweet sorghum, system expansion","ethanol, from sweet sorghum",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from switchgrass, economic allocation","ethanol, from switchgrass",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from switchgrass, energy allocation","ethanol, from switchgrass",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from switchgrass, system expansion","ethanol, from switchgrass",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from switchgrass, with carbon capture and storage, economic allocation","ethanol, from switchgrass",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from switchgrass, with carbon capture and storage, energy allocation","ethanol, from switchgrass",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from switchgrass, with carbon capture and storage, system expansion","ethanol, from switchgrass",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from wheat grains, energy allocation","ethanol, from wheat grains",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from wheat straw, energy allocation","ethanol, from wheat straw pellets",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from willow, economic allocation","ethanol, from willow",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from willow, energy allocation","ethanol, from willow",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol production, via fermentation, from willow, system expansion","ethanol, from willow",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn starch, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn stover, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn stover, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn stover, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, with carbon capture and reuse, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, with carbon capture and reuse, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, with carbon capture and reuse, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, with carbon capture and storage, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, with carbon capture and storage, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from corn, with carbon capture and storage, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from eucalyptus, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from forage sorghum, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from forage sorghum, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from forage sorghum, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from forest residue, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from forest residue, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from forest residue, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from forest residues, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from grain sorghum, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from grain sorghum, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from grain sorghum, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from miscanthus, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from miscanthus, economic allocation, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from miscanthus, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from miscanthus, energy allocation, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from miscanthus, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from miscanthus, system expansion, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from poplar, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from poplar, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from poplar, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarbeet, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarbeet, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane straw, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane straw, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane straw, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane, economic allocation, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane, energy allocation, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sugarcane, system expansion, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sweet sorghum, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from sweet sorghum, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from switchgrass, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from switchgrass, economic allocation, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from switchgrass, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from switchgrass, energy allocation, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from switchgrass, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from switchgrass, system expansion, with carbon capture and storage, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from wheat grains, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from wheat straw, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from willow, economic allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from willow, energy allocation, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethanol, from willow, system expansion, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"ethylene bromide, at plant","ethylene bromide, at plant",2011:Manufacture of basic chemicals,53262: Power plants
"ethylene glycols production, thermal hydrolysis of ethylene oxide (Ritzen et al.)","ethylene glycol, biobased",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
"ethylene oxide production, ethylene oxidation (Ritzen et al.)","ethylene oxide, biobased",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
ethylene production from brasilian ethanol (Kochar et al.),"ethylene, biobased (Kochar et al.)",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
ethylene production from brasilian ethanol (Ritzen et al.),"ethylene, biobased (Ritzen et al.)",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
"ethylene, from methanol (Hoppe et al.)","ethylene, from methanol (Hoppe et al.)",2011:Manufacture of basic chemicals,"34710: Polymers of ethylene, in primary forms"
ethylenediaminetetraacetic acid disodium salt (EDTA Na2) production,ethylenediaminetetraacetic acid disodium salt (EDTA Na2),2011:Manufacture of basic chemicals,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]"
"EV charger, level 3, plugin, 200 kW","EV charger, level 3, plugin, 200 kW",0161:Support activities for crop production,542: General construction services of civil engineering works
"EV charger, level 3, with pantograph, 450 kW","EV charger, level 3, with pantograph, 450 kW",0161:Support activities for crop production,542: General construction services of civil engineering works
"exhaust abatement, for perovskite",abated exhaust,2011:Manufacture of basic chemicals,86119: Other support services to crop production
"exhaust system, for lorry","exhaust system, for lorry",4923:Freight transport by road,6511: Road transport services of freight
extraction of vegetable oil from rapeseed,extraction of vegetable oil from rapeseed,3700:Sewerage,39990: Other wastes n.e.c.
"factory construction and operation, for LiS battery",operating battery factory,4290:Construction of other civil engineering projects,53269: Other constructions for manufacturing
farming and supply of corn,"corn, harvested, at ethanol plant",0161:Support activities for crop production,23319: Preparations used in animal feeding n.e.c.
farming and supply of corn stover,"corn stover, harvested, at ethanol plant",0161:Support activities for crop production,23319: Preparations used in animal feeding n.e.c.
farming and supply of dry algae,algae harvesting for dry algae production,0161:Support activities for crop production,86119: Other support services to crop production
farming and supply of eucalyptus,"eucalyptus, harvested, at ethanol plant",0161:Support activities for crop production,23319: Preparations used in animal feeding n.e.c.
farming and supply of Forage Sorghum,"forage sorghum, harvested, at ethanol plant",0161:Support activities for crop production,"01922: Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie"
farming and supply of Fresh Fruit Bunches (FFBs) for palm oil,fresh Fruit Bunches (FFBs) production,0161:Support activities for crop production,86119: Other support services to crop production
farming and supply of Grain Sorghum,"grain sorghum, harvested, at ethanol plant","0111:Growing of cereals (except rice), leguminous crops and oil seeds",86111: Post-harvest crop services
farming and supply of miscanthus,"miscanthus, harvested, at ethanol plant",0161:Support activities for crop production,"01922: Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie"
farming and supply of poplar,"poplar, harvested, at ethanol plant",0161:Support activities for crop production,86119: Other support services to crop production
farming and supply of rapeseed,rapeseed cultivation,0163:Post-harvest crop activities,86111: Post-harvest crop services
farming and supply of sugarbeet,sugar beet cultivation,0163:Post-harvest crop activities,86111: Post-harvest crop services
farming and supply of sugarcane,"sugarcane, harvested, at ethanol plant",0161:Support activities for crop production,86119: Other support services to crop production
farming and supply of sugarcane straw,"sugarcane straw, harvested, at ethanol plant",0161:Support activities for crop production,86119: Other support services to crop production
farming and supply of Sweet Sorghum,"sweet sorghum, harvested, at ethanol plant",0161:Support activities for crop production,39990: Other wastes n.e.c.
farming and supply of switchgrass,"switchgrass, harvested, at ethanol plant",0161:Support activities for crop production,86119: Other support services to crop production
farming and supply of wheat grains,wheat grains,0161:Support activities for crop production,86119: Other support services to crop production
farming and supply of wheat straw,wheat straw,0161:Support activities for crop production,"01913: Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets"
farming and supply of willow,"willow, harvested, at ethanol plant",0161:Support activities for crop production,"01922: Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie"
"ferroniobium production, from pyrochlore concentrate, 66% Nb","ferroniobium, 66% Nb",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"film extrusion process, lithium","film extrusion, lithium",2220:Manufacture of plastics products,"89200: Moulding, pressing, stamping, extruding and similar plastic manufacturing services"
"filtering, through water ion exchanger","filtering, through water ion exchanger",2610:Manufacture of electronic components and boards,18000: Natural water
fire figting equipment TI EPR,fire figting equipment TI EPR,4290:Construction of other civil engineering projects,53262: Power plants
"fire suppression system production, for LiS battery",fire suppression system,2720:Manufacture of batteries and accumulators,46410: Primary cells and primary batteries
fixed bed reactor for RWGS,fixed bed reactor,2011:Manufacture of basic chemicals,86119: Other support services to crop production
flame cutting,flame cutting,0161:Support activities for crop production,86119: Other support services to crop production
"fluorspar production, 97% purity","fluorspar, 97% purity",2011:Manufacture of basic chemicals,35499: Other chemical products n.e.c.
forklift operation,forklift operation,5510:Short term accommodation activities,"63114: Accommodation services for visitors, in rooms for multiple occupancy"
"formaldehyde production, methanol oxidation",formaldehyde,2011:Manufacture of basic chemicals,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]"
"formaldehyde production, methanol oxidation","steam, in chemical industry",2011:Manufacture of basic chemicals,17300: Steam and hot water
"frame, blanks and saddle, for lorry","frame, blanks and saddle, for lorry",2610:Manufacture of electronic components and boards,6511: Road transport services of freight
"fuel cell Balance of Plant production, 1 kWe, proton exchange membrane (PEM)","fuel cell Balance of Plant, 1 kWe, proton exchange membrane (PEM)",2011:Manufacture of basic chemicals,53262: Power plants
"fuel cell stack production, 1 kWe, proton exchange membrane (PEM)","fuel cell stack, 1 kWe, proton exchange membrane (PEM)",2790:Manufacture of other electrical equipment,46410: Primary cells and primary batteries
"fuel cell system assembly, 1 kWe, proton exchange membrane (PEM)","fuel cell system, 1 kWe, proton exchange membrane (PEM)","4322:Plumbing, heat and air-conditioning installation",33370: Fuel oils n.e.c.
"fuel elements PWR, UO2 4.8% & MOX, at nuclear fuel fabrication plant","fuel elements PWR, UO2 4.8% & MOX, at nuclear fuel fabrication plant",3530:Steam and air conditioning supply,53262: Power plants
fuel supply for gasoline vehicles,gasoline blend,2011:Manufacture of basic chemicals,33370: Fuel oils n.e.c.
"fuel tank assembly, compressed hydrogen gas, 700bar","fuel tank, compressed hydrogen gas, 700bar","2512:Manufacture of tanks, reservoirs and containers of metal","42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]"
"fuel tank assembly, compressed natural gas, 200 bar","fuel tank, compressed natural gas, 200 bar","2512:Manufacture of tanks, reservoirs and containers of metal","42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]"
"fuel tank, compressed hydrogen gas, 700bar, with aluminium liner",hydrogen tank,"2512:Manufacture of tanks, reservoirs and containers of metal","42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]"
"fuel tank, compressed hydrogen gas, 700bar, with HDPE liner",hydrogen tank,"2512:Manufacture of tanks, reservoirs and containers of metal","42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]"
"fuel tank, for diesel vehicle",fuel tank,"2512:Manufacture of tanks, reservoirs and containers of metal","42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]"
"fuel tank, for diesel vehicle, adapted to locomotives",fuel tank,"2512:Manufacture of tanks, reservoirs and containers of metal","42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]"
"gaAs ingot production - x-ray, cropping, grinding notch",single-crystal GaAs ingot,2011:Manufacture of basic chemicals,34621: Superphosphate
"gaAs wafer production - cleaning, quality control, packing",gaAs wafer,2011:Manufacture of basic chemicals,53262: Power plants
gallium chloride production,gallium chloride,2011:Manufacture of basic chemicals,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.
gas-to-liquid plant construction,gas-to-liquid plant,4290:Construction of other civil engineering projects,53262: Power plants
"gasket production, FKM, for VRFB system","gasket, FKM",2011:Manufacture of basic chemicals,35499: Other chemical products n.e.c.
"gasoline production, from methanol, from wood, with CCS, economic allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, from wood, with CCS, energy allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, hydrogen from coal gasification, economic allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, hydrogen from coal gasification, energy allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, hydrogen from coal gasification, with CCS, economic allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, hydrogen from coal gasification, with CCS, energy allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, hydrogen from electrolysis, CO2 from cement plant, economic allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, hydrogen from electrolysis, CO2 from cement plant, energy allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, economic allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation","gasoline, synthetic",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, from wood, with CCS, economic allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, from wood, with CCS, energy allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, hydrogen from coal gasification, economic allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, hydrogen from coal gasification, energy allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, hydrogen from coal gasification, with CCS, economic allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, hydrogen from coal gasification, with CCS, energy allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
"gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from cement plant, economic allocation, at fuelling station","gasoline, synthetic, vehicle grade",2011:Manufacture of basic chemicals,35491: Biodiesel
