market,method,impact category,unit,layer 1 group,component,absolute contribution,score per kg H2,share of total impact (%)
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen leakage — distribution,0.0,26.877369747832898,0.0
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Ammonia leakage — Coal gasification with CCS,8.81284814786407e-07,26.877369747832898,3.278910187472732e-06
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification,1.3398334935261456e-05,26.877369747832898,4.984987393099265e-05
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification with CCS,1.7505626897084663,26.877369747832898,6.513147328523888
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Coal gasification with CCS,3.905451871338876e-05,26.877369747832898,0.00014530632677156848
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,PEM electrolysis,22.23307230606173,26.877369747832898,82.7204168959069
Steel,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Steam methane reforming with CCS,0.05271194890347335,26.877369747832898,0.19612019106789078
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen distribution,2.7006442836771205,26.737044652369928,10.100758400153772
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Hydrogen distribution,Hydrogen leakage — distribution,0.0,26.737044652369928,0.0
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Ammonia leakage — Coal gasification with CCS,8.81284814786407e-07,26.737044652369928,3.2961190222955e-06
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification,1.3398334935261456e-05,26.737044652369928,5.011150300814511e-05
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Biomass gasification with CCS,1.7505626897084663,26.737044652369928,6.547330538842105
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Coal gasification with CCS,3.905451871338876e-05,26.737044652369928,0.00014606894374890095
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,PEM electrolysis,22.23307230606173,26.737044652369928,83.15456175180165
Transport,"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",ecotoxicity: freshwater,CTUe,Production technology,Steam methane reforming with CCS,0.05271194890347335,26.737044652369928,0.19714949647137253
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen distribution,1.6848708783748627,14.415889086015445,11.687596015214359
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen leakage — distribution,0.0,14.415889086015445,0.0
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Ammonia leakage — Coal gasification with CCS,0.0,14.415889086015445,0.0
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification,6.5267990398795196e-06,14.415889086015445,4.52750364610604e-05
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification with CCS,0.926894688767836,14.415889086015445,6.429674113315683
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Coal gasification with CCS,0.00018911350970991076,14.415889086015445,0.0013118407652939412
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,PEM electrolysis,11.791329005023853,14.415889086015445,81.79397701153496
Cement,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Steam methane reforming with CCS,0.012598815902984716,14.415889086015445,0.08739534431633889
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen distribution,0.7046675504660185,13.435685747396297,5.244745699731598
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen leakage — distribution,0.0,13.435685747396297,0.0
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Ammonia leakage — Coal gasification with CCS,0.0,13.435685747396297,0.0
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification,6.5267990398795196e-06,13.435685747396297,4.8578086467557853e-05
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification with CCS,0.926894688767836,13.435685747396297,6.898752368835799
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Coal gasification with CCS,0.00018911350970991076,13.435685747396297,0.001407546390005133
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,PEM electrolysis,11.791329005023853,13.435685747396297,87.76127416725934
Chemicals,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Steam methane reforming with CCS,0.012598815902984716,13.435685747396297,0.0937712904265139
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen distribution,0.880834438082523,13.611852624512759,6.471084152764641
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen leakage — distribution,0.0,13.611852624512759,0.0
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Ammonia leakage — Coal gasification with CCS,0.0,13.611852624512759,0.0
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification,6.5267990398795196e-06,13.611852624512759,4.79493807340068e-05
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification with CCS,0.926894688767836,13.611852624512759,6.809467559901784
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Coal gasification with CCS,0.00018911350970991076,13.611852624512759,0.0013893296888136133
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,PEM electrolysis,11.791329005023853,13.611852624512759,86.62545305397711
Generic,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Steam methane reforming with CCS,0.012598815902984716,13.611852624512759,0.0925576866759215
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen distribution,1.8602112838174698,14.591229473129417,12.74883166797668
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen leakage — distribution,0.0,14.591229473129417,0.0
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Ammonia leakage — Coal gasification with CCS,0.0,14.591229473129417,0.0
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification,6.5267990398795196e-06,14.591229473129417,4.4730973849043995e-05
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification with CCS,0.926894688767836,14.591229473129417,6.352409784759848
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Coal gasification with CCS,0.00018911350970991076,14.591229473129417,0.0012960765921622582
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,PEM electrolysis,11.791329005023853,14.591229473129417,80.81107234135587
Other end uses,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Steam methane reforming with CCS,0.012598815902984716,14.591229473129417,0.08634512894328855
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen distribution,1.6848708783748627,14.415889086015445,11.687596015214359
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen leakage — distribution,0.0,14.415889086015445,0.0
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Ammonia leakage — Coal gasification with CCS,0.0,14.415889086015445,0.0
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification,6.5267990398795196e-06,14.415889086015445,4.52750364610604e-05
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification with CCS,0.926894688767836,14.415889086015445,6.429674113315683
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Coal gasification with CCS,0.00018911350970991076,14.415889086015445,0.0013118407652939412
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,PEM electrolysis,11.791329005023853,14.415889086015445,81.79397701153496
Steel,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Steam methane reforming with CCS,0.012598815902984716,14.415889086015445,0.08739534431633889
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen distribution,1.602731023557334,14.333749222498405,11.181519912750185
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Hydrogen distribution,Hydrogen leakage — distribution,0.0,14.333749222498405,0.0
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Ammonia leakage — Coal gasification with CCS,0.0,14.333749222498405,0.0
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification,6.5267990398795196e-06,14.333749222498405,4.553448604803959e-05
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Biomass gasification with CCS,0.926894688767836,14.333749222498405,6.46651950149213
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Coal gasification with CCS,0.00018911350970991076,14.333749222498405,0.0013193582975002535
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,PEM electrolysis,11.791329005023853,14.333749222498405,82.26269918630959
Transport,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')",energy resources: non-renewable,"MJ, net calorific value",Production technology,Steam methane reforming with CCS,0.012598815902984716,14.333749222498405,0.08789616524900186
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen distribution,0.00011311248081749241,0.000992987029027244,11.391133772240746
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.000992987029027244,0.0
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.000992987029027244,0.0
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification,2.2979748990039369e-10,0.000992987029027244,2.3142043469138695e-05
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification with CCS,4.369882540559394e-05,0.000992987029027244,4.400744836355258
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Coal gasification with CCS,1.0497697068568791e-08,0.000992987029027244,0.001057183705496396
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,PEM electrolysis,0.0008342451730266569,0.000992987029027244,84.01370296285795
Cement,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Steam methane reforming with CCS,1.9198173126292145e-06,0.000992987029027244,0.19333760225548138
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen distribution,4.76024292603292e-05,0.0009274769765831158,5.132464790198845
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.0009274769765831158,0.0
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.0009274769765831158,0.0
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification,2.2979748990039369e-10,0.0009274769765831158,2.4776624725174557e-05
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification with CCS,4.369882540559394e-05,0.0009274769765831158,4.711580611583825
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Coal gasification with CCS,1.0497697068568791e-08,0.0009274769765831158,0.0011318552733506093
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,PEM electrolysis,0.0008342451730266569,0.0009274769765831158,89.9478039983342
Chemicals,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Steam methane reforming with CCS,1.9198173126292145e-06,0.0009274769765831158,0.20699352772097304
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen distribution,5.95030365754115e-05,0.0009393775831888655,6.334304505481071
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.0009393775831888655,0.0
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.0009393775831888655,0.0
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification,2.2979748990039369e-10,0.0009393775831888655,2.4462739372629037e-05
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification with CCS,4.369882540559394e-05,0.0009393775831888655,4.651891442549797
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Coal gasification with CCS,1.0497697068568791e-08,0.0009393775831888655,0.001117516242290209
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,PEM electrolysis,0.0008342451730266569,0.0009393775831888655,88.80829050600505
Generic,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Steam methane reforming with CCS,1.9198173126292145e-06,0.0009393775831888655,0.204371207806779
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen distribution,0.000122077381218733,0.0010019519278972047,12.183955918417828
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.0010019519278972047,0.0
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.0010019519278972047,0.0
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification,2.2979748990039369e-10,0.0010019519278972047,2.2934981559711096e-05
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification with CCS,4.369882540559394e-05,0.0010019519278972047,4.3613694618368175
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Coal gasification with CCS,1.0497697068568791e-08,0.0010019519278972047,0.0010477246239348325
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,PEM electrolysis,0.0008342451730266569,0.0010019519278972047,83.26199589011084
Other end uses,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Steam methane reforming with CCS,1.9198173126292145e-06,0.0010019519278972047,0.191607726795669
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen distribution,0.00011311248081749241,0.000992987029027244,11.391133772240746
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.000992987029027244,0.0
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.000992987029027244,0.0
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification,2.2979748990039369e-10,0.000992987029027244,2.3142043469138695e-05
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification with CCS,4.369882540559394e-05,0.000992987029027244,4.400744836355258
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Coal gasification with CCS,1.0497697068568791e-08,0.000992987029027244,0.001057183705496396
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,PEM electrolysis,0.0008342451730266569,0.000992987029027244,84.01370296285795
Steel,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Steam methane reforming with CCS,1.9198173126292145e-06,0.000992987029027244,0.19333760225548138
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen distribution,9.891260670779753e-05,0.0009787871545426634,10.10562983471256
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.0009787871545426634,0.0
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,0.0,0.0009787871545426634,0.0
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification,2.2979748990039369e-10,0.0009787871545426634,2.3477779498216458e-05
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Biomass gasification with CCS,4.369882540559394e-05,0.0009787871545426634,4.464589180883983
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Coal gasification with CCS,1.0497697068568791e-08,0.0009787871545426634,0.0010725209275425996
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,PEM electrolysis,0.0008342451730266569,0.0009787871545426634,85.23254204500226
Transport,"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",eutrophication: freshwater,kg P-Eq,Production technology,Steam methane reforming with CCS,1.9198173126292145e-06,0.0009787871545426634,0.19614247119193606
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Hydrogen distribution,Hydrogen distribution,0.00020900161225849255,0.002233148223938479,9.359056869493779
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.002233148223938479,0.0
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Production technology,Ammonia leakage — Coal gasification with CCS,6.974469071858017e-10,0.002233148223938479,3.123155461466653e-05
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Production technology,Biomass gasification,4.747064639806812e-09,0.002233148223938479,0.00021257275217650704
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Production technology,Biomass gasification with CCS,0.0004901456854299213,0.002233148223938479,21.948640944463534
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Production technology,Coal gasification with CCS,7.3781443017206825e-09,0.002233148223938479,0.0003303920547068864
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Production technology,PEM electrolysis,0.001530061787191866,0.002233148223938479,68.51590820484729
Cement,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Production technology,Steam methane reforming with CCS,3.926323242726247e-06,0.002233148223938479,0.17582009114476108
Chemicals,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Hydrogen distribution,Hydrogen distribution,7.798165600005854e-05,0.0021021282671600202,3.7096526039018505
Chemicals,"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",eutrophication: marine,kg N-Eq,Hydrogen distribution,Hydrogen leakage — distribution,0.0,0.0021021282671600202,0.0
